EV_Type,Program,Scenario,Year,Customer_Type,beta_no_install,beta_install_required
LDV,DLC,flat,2025,new,0.009271454778308904,0.001545242463051484
LDV,DLC,flat,2030,new,0.013734325804593099,0.0022890543007655167
LDV,DLC,flat,2035,new,0.019487967253628717,0.0032479945422714527
LDV,DLC,flat,2040,new,0.027597269415792006,0.004599544902632001
LDV,DLC,flat,2045,new,0.04146021302699092,0.0069100355044984865
LDV,DLC,flat,2050,new,0.12859438956078273,0.021432398260130457
LDV,DLC,high,2025,new,0.016533571463689358,0.002755595243948226
LDV,DLC,high,2030,new,0.02452073132529315,0.0032694308433724203
LDV,DLC,high,2035,new,0.04620981203732968,0.004620981203732968
LDV,DLC,high,2040,new,0.10397207708399174,0.00693147180559945
LDV,DLC,high,2045,new,0.27725887222397805,0.009241962407465934
LDV,DLC,high,2050,new,,0.014606755448912934
LDV,DLC,low,2025,new,0.00447787502690508,0.000335840627017881
LDV,DLC,low,2030,new,0.00447787502690508,0.000335840627017881
LDV,DLC,low,2035,new,0.00447787502690508,0.000335840627017881
LDV,DLC,low,2040,new,0.00447787502690508,0.000335840627017881
LDV,DLC,low,2045,new,0.00447787502690508,0.000335840627017881
LDV,DLC,low,2050,new,0.00447787502690508,0.000335840627017881
LDV,DLC,mid,2025,new,0.009271454778308904,0.001545242463051484
LDV,DLC,mid,2030,new,0.013734325804593099,0.0022890543007655167
LDV,DLC,mid,2035,new,0.019487967253628717,0.0032479945422714527
LDV,DLC,mid,2040,new,0.027597269415792006,0.004599544902632001
LDV,DLC,mid,2045,new,0.04146021302699092,0.0069100355044984865
LDV,DLC,mid,2050,new,0.12859438956078273,0.021432398260130457
LDV,RTP,flat,2025,new,0.008256904308115735,0.008256904308115735
LDV,RTP,flat,2030,new,0.012063978877940114,0.012063978877940114
LDV,RTP,flat,2035,new,0.016770260616629416,0.016770260616629416
LDV,RTP,flat,2040,new,0.022936287809719746,0.022936287809719746
LDV,RTP,flat,2045,new,0.03189678226025896,0.03189678226025896
LDV,RTP,flat,2050,new,0.04822437867993681,0.04822437867993681
LDV,RTP,high,2025,new,0.014322733975692881,0.014322733975692881
LDV,RTP,high,2030,new,0.020993766368795515,0.020993766368795515
LDV,RTP,high,2035,new,0.03817107681010008,0.03817107681010008
LDV,RTP,high,2040,new,0.07934825282910207,0.07934825282910207
LDV,RTP,high,2045,new,0.19123874570166696,0.19123874570166696
LDV,RTP,high,2050,new,,
LDV,RTP,low,2025,new,0.004031397307949701,0.004031397307949701
LDV,RTP,low,2030,new,0.004031397307949701,0.004031397307949701
LDV,RTP,low,2035,new,0.004031397307949701,0.004031397307949701
LDV,RTP,low,2040,new,0.004031397307949701,0.004031397307949701
LDV,RTP,low,2045,new,0.004031397307949701,0.004031397307949701
LDV,RTP,low,2050,new,0.004031397307949701,0.004031397307949701
LDV,RTP,mid,2025,new,0.008256904308115735,0.008256904308115735
LDV,RTP,mid,2030,new,0.012063978877940114,0.012063978877940114
LDV,RTP,mid,2035,new,0.016770260616629416,0.016770260616629416
LDV,RTP,mid,2040,new,0.022936287809719746,0.022936287809719746
LDV,RTP,mid,2045,new,0.03189678226025896,0.03189678226025896
LDV,RTP,mid,2050,new,0.04822437867993681,0.04822437867993681
LDV,TOU,flat,2025,new,0.021072103131565257,
LDV,TOU,flat,2030,new,0.016676321787810203,
LDV,TOU,flat,2035,new,0.015592308293942387,
LDV,TOU,flat,2040,new,0.01906203596086498,
LDV,TOU,flat,2045,new,0.02107210313156528,
LDV,TOU,flat,2050,new,0.023869351526513226,
LDV,TOU,high,2025,new,0.002334716926162802,
LDV,TOU,high,2030,new,0.01984509387238382,
LDV,TOU,high,2035,new,0.01984509387238382,
LDV,TOU,high,2040,new,0.01984509387238382,
LDV,TOU,high,2045,new,0.01984509387238382,
LDV,TOU,high,2050,new,0.19845093872383818,
LDV,TOU,low,2025,new,0.022314355131420986,
LDV,TOU,low,2030,new,0.022314355131420986,
LDV,TOU,low,2035,new,0.022314355131420986,
LDV,TOU,low,2040,new,0.022314355131420986,
LDV,TOU,low,2045,new,0.022314355131420986,
LDV,TOU,low,2050,new,0.022314355131420986,
LDV,TOU,mid,2025,new,0.021072103131565257,
LDV,TOU,mid,2030,new,0.016676321787810203,
LDV,TOU,mid,2035,new,0.015592308293942387,
LDV,TOU,mid,2040,new,0.01906203596086498,
LDV,TOU,mid,2045,new,0.02107210313156528,
LDV,TOU,mid,2050,new,0.023869351526513226,
LDV,DLC,flat,2025,recurring,0.009271454778308904,
LDV,DLC,flat,2030,recurring,0.013734325804593099,
LDV,DLC,flat,2035,recurring,0.019487967253628717,
LDV,DLC,flat,2040,recurring,0.027597269415792006,
LDV,DLC,flat,2045,recurring,0.04146021302699092,
LDV,DLC,flat,2050,recurring,0.12859438956078273,
LDV,DLC,high,2025,recurring,0.016533571463689358,
LDV,DLC,high,2030,recurring,0.02452073132529315,
LDV,DLC,high,2035,recurring,0.04620981203732968,
LDV,DLC,high,2040,recurring,0.10397207708399174,
LDV,DLC,high,2045,recurring,0.27725887222397805,
LDV,DLC,high,2050,recurring,,
LDV,DLC,low,2025,recurring,0.00447787502690508,
LDV,DLC,low,2030,recurring,0.00447787502690508,
LDV,DLC,low,2035,recurring,0.00447787502690508,
LDV,DLC,low,2040,recurring,0.00447787502690508,
LDV,DLC,low,2045,recurring,0.00447787502690508,
LDV,DLC,low,2050,recurring,0.00447787502690508,
LDV,DLC,mid,2025,recurring,0.009271454778308904,
LDV,DLC,mid,2030,recurring,0.013734325804593099,
LDV,DLC,mid,2035,recurring,0.019487967253628717,
LDV,DLC,mid,2040,recurring,0.027597269415792006,
LDV,DLC,mid,2045,recurring,0.04146021302699092,
LDV,DLC,mid,2050,recurring,0.12859438956078273,
LDV,RTP,flat,2025,recurring,0.008256904308115735,
LDV,RTP,flat,2030,recurring,0.012063978877940114,
LDV,RTP,flat,2035,recurring,0.016770260616629416,
LDV,RTP,flat,2040,recurring,0.022936287809719746,
LDV,RTP,flat,2045,recurring,0.03189678226025896,
LDV,RTP,flat,2050,recurring,0.04822437867993681,
LDV,RTP,high,2025,recurring,0.014322733975692881,
LDV,RTP,high,2030,recurring,0.020993766368795515,
LDV,RTP,high,2035,recurring,0.03817107681010008,
LDV,RTP,high,2040,recurring,0.07934825282910207,
LDV,RTP,high,2045,recurring,0.19123874570166696,
LDV,RTP,high,2050,recurring,,
LDV,RTP,low,2025,recurring,0.004031397307949701,
LDV,RTP,low,2030,recurring,0.004031397307949701,
LDV,RTP,low,2035,recurring,0.004031397307949701,
LDV,RTP,low,2040,recurring,0.004031397307949701,
LDV,RTP,low,2045,recurring,0.004031397307949701,
LDV,RTP,low,2050,recurring,0.004031397307949701,
LDV,RTP,mid,2025,recurring,0.008256904308115735,
LDV,RTP,mid,2030,recurring,0.012063978877940114,
LDV,RTP,mid,2035,recurring,0.016770260616629416,
LDV,RTP,mid,2040,recurring,0.022936287809719746,
LDV,RTP,mid,2045,recurring,0.03189678226025896,
LDV,RTP,mid,2050,recurring,0.04822437867993681,
LDV,TOU,flat,2025,recurring,0.021072103131565257,
LDV,TOU,flat,2030,recurring,0.016676321787810203,
LDV,TOU,flat,2035,recurring,0.015592308293942387,
LDV,TOU,flat,2040,recurring,0.01906203596086498,
LDV,TOU,flat,2045,recurring,0.02107210313156528,
LDV,TOU,flat,2050,recurring,0.023869351526513226,
LDV,TOU,high,2025,recurring,0.002334716926162802,
LDV,TOU,high,2030,recurring,0.01984509387238382,
LDV,TOU,high,2035,recurring,0.01984509387238382,
LDV,TOU,high,2040,recurring,0.01984509387238382,
LDV,TOU,high,2045,recurring,0.01984509387238382,
LDV,TOU,high,2050,recurring,0.19845093872383818,
LDV,TOU,low,2025,recurring,0.022314355131420986,
LDV,TOU,low,2030,recurring,0.022314355131420986,
LDV,TOU,low,2035,recurring,0.022314355131420986,
LDV,TOU,low,2040,recurring,0.022314355131420986,
LDV,TOU,low,2045,recurring,0.022314355131420986,
